id,name,address,coordinates,review_count,rating,zip_code,query,location
XsXLVWr1UZWVhKThNvNiaA,Blue Willow 夜来湘,"40 W 56th St, New York, NY 10019","(40.76292, -73.976546)",602,4.5,10019,chinese food,manhattan
bVkjBJlAIwKAj9Aw1KVWjA,Dim Sum Palace,"334 W 46th St, New York, NY 10036","(40.76015, -73.9893699)",1548,4.0,10036,chinese food,manhattan
EmJ7rfmv2y6lQZxgA8U__g,Red Peony Chinese Cuisine,"24 W 56th St, New York, NY 10019","(40.76278, -73.97589)",513,4.5,10019,chinese food,manhattan
UK1oGbr8GU2rufpnJR4-HQ,Joe's Home of Soup Dumplings,"7 E 48th St, between Fifth and Madison avenues, New York, NY 10017","(40.75723, -73.97702)",304,4.5,10017,chinese food,manhattan
ZWP7yq9C2bhCcLkMR9BmVw,Mala Project,"245 East 53rd St, New York, NY 10022","(40.75712551924447, -73.96767713374987)",38,4.5,10022,chinese food,manhattan
ojbH3wnRu050hRhkmoxRiA,Han Dynasty,"215 W 85th St, New York, NY 10024","(40.78752, -73.97647)",667,4.0,10024,chinese food,manhattan
h0pRCiJDrCN7tm3VX5tILQ,CHILI,"13 E 37th St, New York, NY 10016","(40.75002, -73.98215)",485,4.5,10016,chinese food,manhattan
LT0yyLNM84EiJj9DL0rfHA,Hui Restaurant & Bar,"314 E 70th St, New York, NY 10021","(40.76701, -73.95846)",238,4.5,10021,chinese food,manhattan
BNaveJmi-OUGKG9sRfrIhA,Mr. Sun,"48 W 48th St, New York, NY 10036","(40.75809, -73.98026)",151,4.5,10036,chinese food,manhattan
xq0cX_DgxiJMXwhmEl9kUA,Café China,"59 W 37th St, New York, NY 10018","(40.75157, -73.98584)",1806,4.0,10018,chinese food,manhattan
83zDAk03lFXkgImgkLhT9w,Chi Restaurant & Bar,"492 9th Ave, New York, NY 10018","(40.75547, -73.99439)",4,5.0,10018,chinese food,manhattan
gJXNSJ9VXTuCFmp_Kl9TVQ,Shanghai,"1388 2nd Ave, New York, NY 10021","(40.768291, -73.958381)",121,4.0,10021,chinese food,manhattan
jc7lVTvmYMIK5RNpENtS6w,Szechuan Mountain House,"23 St Marks Pl, New York, NY 10003","(40.72911, -73.98858)",535,4.5,10003,chinese food,manhattan
